"编号","开始答题时间","结束答题时间","QQ","微信标识","自定义字段","1.您所在的医疗机构名称：____:1[题目填空]","2.您所在医疗机构级别是？","2.您所在医疗机构级别是？[选项填空]","3.您所在的科室名称：____:1[题目填空]","4.您的性别是？","5.您的出生年份是？","6.您的婚姻状况是？","6.您的婚姻状况是？[选项填空]","7.是否是在编员工？","8.您的行政职务是？","8.您的行政职务是？[选项填空]","9.您的技术职称是？","10.您的最高学历是？","11.您的学位是？","12.您从事护理工作的年限是：____年:1[题目填空]","13.您从事感染性疾病护理工作的年限是：____年:1[题目填空]","14.您现在的平均月收入是？","15.您期望的月收入是？","16.目前您享有以下哪些福利？:养老保险","16.目前您享有以下哪些福利？:医疗保险","16.目前您享有以下哪些福利？:工伤保险","16.目前您享有以下哪些福利？:失业保险","16.目前您享有以下哪些福利？:生育保险","16.目前您享有以下哪些福利？:住房补贴","16.目前您享有以下哪些福利？:交通补贴","16.目前您享有以下哪些福利？:子女教育的优惠政策","16.目前您享有以下哪些福利？:其他____","16.目前您享有以下哪些福利？:其他____[选项填空]","17.您觉得在这里工作生活方便吗？","18.您感觉科室的专业设备和材料能满足您的工作需要吗？","19.2016年您接受感染性疾病护理专业业务培训的次数____次，累计天数是：____天:1[题目填空]","19.2016年您接受感染性疾病护理专业业务培训的次数____次，累计天数是：____天:2[题目填空]","20.您认为您获得的培训机会","21.您是否参加过上级医院感染性疾病科的进修学习？","22.您是否参加过感染性疾病专科护士的培训并获得专科护士证书？","23.您是否了解感染性疾病岗前培训制度？","24.您所在的单位对感染性疾病护理人员的培训","25.您认为总体上您所参加的感染性疾病专业培训效果","26.您认为随着新发传染病的增加，您获得的专业培训数量是否增加？","27.您认为随着新发传染病的增加，您获得的专业培训质量是否提高？","28.在您参加过的感染性疾病专业培训中，您认为存在的主要问题有（最多选3项）：:时间太短","28.在您参加过的感染性疾病专业培训中，您认为存在的主要问题有（最多选3项）：:缺乏实践","28.在您参加过的感染性疾病专业培训中，您认为存在的主要问题有（最多选3项）：:重视不够","28.在您参加过的感染性疾病专业培训中，您认为存在的主要问题有（最多选3项）：:课程内容太多","28.在您参加过的感染性疾病专业培训中，您认为存在的主要问题有（最多选3项）：:重点不突出","28.在您参加过的感染性疾病专业培训中，您认为存在的主要问题有（最多选3项）：:形式化气氛太浓","28.在您参加过的感染性疾病专业培训中，您认为存在的主要问题有（最多选3项）：:学非所用","28.在您参加过的感染性疾病专业培训中，您认为存在的主要问题有（最多选3项）：:没有书本与讲义","28.在您参加过的感染性疾病专业培训中，您认为存在的主要问题有（最多选3项）：:培训速度太快","28.在您参加过的感染性疾病专业培训中，您认为存在的主要问题有（最多选3项）：:其他____","28.在您参加过的感染性疾病专业培训中，您认为存在的主要问题有（最多选3项）：:其他____[选项填空]","29.对您来说，最适宜的培训方式是？","29.对您来说，最适宜的培训方式是？[选项填空]","30.您感觉在本单位职业发展（晋升、提拔等）的机会如何？","31.2016年您共获得____项荣誉。其中院级____项；市级____项；省级及以上____项。:1[题目填空]","31.2016年您共获得____项荣誉。其中院级____项；市级____项；省级及以上____项。:2[题目填空]","31.2016年您共获得____项荣誉。其中院级____项；市级____项；省级及以上____项。:3[题目填空]","31.2016年您共获得____项荣誉。其中院级____项；市级____项；省级及以上____项。:4[题目填空]","32.您与身边同事的关系如何？","33.您和您的上级领导关系如何？","34.您认为当地群众对您的尊重程度如何？","35.您认为您所在单位总体上的管理制度（奖惩制度、领导管理水平等）如何？","36.您平均每天的工作____小时，您平均每周工作____天，您平均每月在单位值夜班____个。:1[题目填空]","36.您平均每天的工作____小时，您平均每周工作____天，您平均每月在单位值夜班____个。:2[题目填空]","36.您平均每天的工作____小时，您平均每周工作____天，您平均每月在单位值夜班____个。:3[题目填空]","37.您觉得您的工作量如何？","38.您对您目前的收入状况满意吗？","39.您对单位提供的福利情况满意吗？","40.您对您单位的生活环境满意吗？","41.您对您单位的工作条件满意吗？","42.您对获得的培训机会满意吗？","43.您对在您单位职业发展（晋升、提拔等）的机会满意吗？","44.您对荣誉或精神奖励的机会满意吗？","45.您对科室内部的人际关系（与同事、与领导的关系）满意吗？","46.您对当地群众对您工作的尊重和认可情况满意吗？","47.您对单位总体上的管理制度（奖惩制度、领导管理水平等）满意吗？","48.您对目前的工作量满意吗？","49.总体来说，您的工作满意度如何？","50.1:我感到工作对我的情绪影响很大","50.2:下班后，我感到筋疲力尽","50.3:清晨起床后，我觉得十分疲劳，但必须面对新的一天","50.4:我很容易理解病人的感受","50.5:有时我觉得自己对待病人象无生命的物体","50.6:整天与人打交道，使我觉得紧张不安","50.7:我能很好地处理病人的问题","50.8:工作使我感到疲倦","50.9:我觉得工作使我能从正面影响或改善他人的生活","50.10:做护士后，我觉得自己变得麻木不仁","50.11:我担心工作会使我变得冷酷","50.12:我感到精力充沛","50.13:工作使我觉得沮丧","50.14:我感到自己在工作中付出太多","50.15:我会对某些病人漠不关心","50.16:直接与人打交道很容易产生压力","50.17:我很容易与病人建立融洽的关系","50.18:与病人密切接触我觉得很愉快","50.19:我觉得自己在工作中已做出了很多成绩","50.20:我感到自己已智穷力竭","50.21:在工作中，我能很平静地处理情绪问题","50.22:有时我觉得是病人本身的问题，他反倒来责备我","51.[图片]您更喜欢以上哪份工作？","52.[图片]您更喜欢以上哪份工作？","53.[图片]您更喜欢以上哪份工作？","54.[图片]您更喜欢以上哪份工作？","55.[图片]您更喜欢以上哪份工作？","56.[图片]您更喜欢以上哪份工作？","57.您会主动学习新的专业知识，提高自己的能力吗？","58.最近一段时间，您在工作中有没有感到压力？","59.您目前有没有离开本岗位，到其它岗位工作的想法？","60.您认为您的工作非常重要和有意义吗？",
"319","2017-08-07 16:22:31","2017-08-07 16:31:51","","o86_0jnBN4slrPypb-167Tw8izvc___蜗牛","","八九医院","A.三级综合医院","","老年病科","B.女","AE.1981年","B.已婚","","A.是","C.无","","C.主管护师","B.本科","A.学士学位","11","2","B.3000-5000元","C.7000-9000元","A.养老保险","B.医疗保险","","","E.生育保险","","G.交通补贴","","","","D.比较方便","D.大部分时候能","6","15","C.一般","B.否","B.否","A.是","D.比较重视","D.比较好","A.是","A.是","A.时间太短","","","","E.重点不突出","","","","I.培训速度太快","","","C.进修","","C.一般","2","2","","","D.比较融洽","D.比较融洽","D.比较尊重","D.比较好","8","5","8","C.一般","D.比较满意","D.比较满意","D.比较满意","D.比较满意","D.比较满意","D.比较满意","D.比较满意","D.比较满意","D.比较满意","D.比较满意","D.比较满意","D.比较满意","3","3","3","4","2","2","6","3","4","2","1","3","3","2","2","3","6","6","5","3","6","4","B.工作2","B.工作2","B.工作2","B.工作2","B.工作2","B.工作2","D.大部分时候会","C.一般","C.一般","D.重要",
"320","2017-08-07 16:16:56","2017-08-07 16:31:52","","o86_0jkNmKSzz-1fjHd3edMjd_Sc___不忘初心","","解放军第八十九医院","A.三级综合医院","","普外二科","B.女","Y.1987年","B.已婚","","B.否","D.其他","护士","D.护师","B.本科","A.学士学位","9","9","A.3000元及以下","C.7000-9000元","A.养老保险","B.医疗保险","C.工伤保险","D.失业保险","E.生育保险","","","","","","B.不太方便","C.一般","","","B.较少","B.否","B.否","A.是","C.一般","C.一般","B.否","B.否","","B.缺乏实践","C.重视不够","","E.重点不突出","","","","","","","C.进修","","A.很少或没有","1","1","","","E.非常融洽","D.比较融洽","D.比较尊重","C.一般","8","5","11","D.比较多","A.非常不满意","A.非常不满意","A.非常不满意","A.非常不满意","A.非常不满意","A.非常不满意","B.不满意","D.比较满意","D.比较满意","C.一般","C.一般","D.比较满意","2","6","7","7","1","2","7","2","7","1","2","6","4","7","1","6","7","7","6","2","7","2","B.工作2","A.工作1","B.工作2","B.工作2","B.工作2","B.工作2","D.大部分时候会","E.压力非常大","E.非常想要","E.非常重要",
"321","2017-08-07 16:24:49","2017-08-07 16:33:18","","o86_0jjFz99EBNhWt9OfsnAty8x8___jing","","89医院","A.三级综合医院","","骨科","B.女","AB.1984年","A.未婚","","B.否","C.无","","D.护师","B.本科","A.学士学位","9","9","A.3000元及以下","B.5000-7000元","A.养老保险","B.医疗保险","","","E.生育保险","","","","","","C.一般","C.一般","2","4","B.较少","B.否","B.否","A.是","E.非常重视","C.一般","A.是","A.是","","B.缺乏实践","","","E.重点不突出","F.形式化气氛太浓","","","","","","A.脱产","","A.很少或没有","","","","","E.非常融洽","E.非常融洽","D.比较尊重","C.一般","8","5","6","E.非常多","B.不满意","B.不满意","C.一般","C.一般","C.一般","C.一般","C.一般","E.非常满意","E.非常满意","C.一般","B.不满意","D.比较满意","3","2","2","1","1","2","2","2","1","2","2","2","2","3","2","3","2","2","2","3","2","1","B.工作2","B.工作2","B.工作2","B.工作2","B.工作2","B.工作2","D.大部分时候会","D.压力较大","D.有些想要","D.重要",
"322","2017-08-07 16:13:46","2017-08-07 16:35:15","","o86_0jmjBBIIgwptIxl004UHo8Aw___东方琦宝","","解放军第八十九医院","A.三级综合医院","","麻醉科","B.女","X.1988年","B.已婚","","B.否","C.无","","D.护师","A.大专及以下","A.学士学位","7","7","A.3000元及以下","A.3000-5000元","A.养老保险","B.医疗保险","C.工伤保险","D.失业保险","E.生育保险","","","","","","C.一般","D.大部分时候能","","","A.很少","B.否","B.否","B.否","D.比较重视","C.一般","B.否","B.否","","","C.重视不够","","","F.形式化气氛太浓","","","","","","B.在岗培训","","A.很少或没有","","","","","D.比较融洽","D.比较融洽","C.一般","D.比较好","10","5","4","D.比较多","A.非常不满意","A.非常不满意","B.不满意","D.比较满意","C.一般","C.一般","D.比较满意","D.比较满意","C.一般","C.一般","B.不满意","B.不满意","5","6","6","6","6","2","2","6","1","7","6","4","4","6","1","6","7","2","1","4","4","2","B.工作2","B.工作2","A.工作1","B.工作2","B.工作2","B.工作2","B.有时候会","D.压力较大","D.有些想要","D.重要",
"323","2017-08-07 16:31:21","2017-08-07 16:35:15","","o86_0jlTAaUxhu2jjb-lE6qC6TPY___末生","","89医院","A.三级综合医院","","手术室","A.男","R.1994年","A.未婚","","A.是","C.无","","E.护士","A.大专及以下","A.学士学位","1","1","A.3000元及以下","B.5000-7000元","A.养老保险","B.医疗保险","C.工伤保险","D.失业保险","E.生育保险","F.住房补贴","G.交通补贴","H.子女教育的优惠政策","","","B.不太方便","D.大部分时候能","2","8","C.一般","B.否","B.否","B.否","D.比较重视","D.比较好","A.是","A.是","","B.缺乏实践","","","","F.形式化气氛太浓","","","","","","C.进修","","A.很少或没有","","","","","D.比较融洽","D.比较融洽","C.一般","D.比较好","8","5","20","C.一般","B.不满意","C.一般","C.一般","D.比较满意","C.一般","C.一般","C.一般","C.一般","C.一般","C.一般","C.一般","C.一般","2","2","2","2","2","2","2","2","2","2","3","3","3","3","2","3","2","2","2","1","2","2","B.工作2","B.工作2","A.工作1","B.工作2","B.工作2","B.工作2","D.大部分时候会","D.压力较大","D.有些想要","D.重要",
"324","2017-08-07 16:20:28","2017-08-07 16:36:15","","o86_0jhEZdl6GNYA1wCSJ1QLzjQI___晚起的虫","","八十九医院","A.三级综合医院","","五官科","B.女","AB.1984年","B.已婚","","A.是","C.无","","D.护师","B.本科","A.学士学位","14","14","B.3000-5000元","D.9000元及以上","A.养老保险","B.医疗保险","C.工伤保险","D.失业保险","E.生育保险","F.住房补贴","","","","","E.非常方便","D.大部分时候能","10","3","C.一般","B.否","B.否","A.是","D.比较重视","D.比较好","A.是","A.是","","B.缺乏实践","","","","","","","","","","B.在岗培训","","D.较多","2","2","","","E.非常融洽","E.非常融洽","D.比较尊重","D.比较好","8","5","","D.比较多","B.不满意","C.一般","D.比较满意","D.比较满意","D.比较满意","D.比较满意","D.比较满意","D.比较满意","D.比较满意","D.比较满意","D.比较满意","D.比较满意","2","4","3","3","2","2","2","2","6","3","1","6","2","4","1","2","7","6","6","2","2","2","B.工作2","A.工作1","A.工作1","B.工作2","B.工作2","A.工作1","D.大部分时候会","C.一般","C.一般","D.重要",
"325","2017-08-07 16:21:34","2017-08-07 16:36:50","","o86_0jsLvV55aAyQVMHmafIsWxoI___晓红","","八十九医院","A.三级综合医院","","麻醉科","B.女","AF.1980年","B.已婚","","B.否","C.无","","D.护师","B.本科","A.学士学位","12","12","A.3000元及以下","B.5000-7000元","A.养老保险","B.医疗保险","","","E.生育保险","","","","","","C.一般","D.大部分时候能","1","1","A.很少","B.否","B.否","B.否","D.比较重视","C.一般","A.是","A.是","A.时间太短","","","","E.重点不突出","","G.学非所用","","","","","B.在岗培训","","B.较少","","","","","E.非常融洽","D.比较融洽","D.比较尊重","C.一般","8","6","4","C.一般","B.不满意","A.非常不满意","B.不满意","C.一般","C.一般","B.不满意","B.不满意","D.比较满意","D.比较满意","B.不满意","C.一般","D.比较满意","2","5","5","6","1","2","7","3","7","2","2","5","3","6","1","2","7","7","7","6","7","1","B.工作2","B.工作2","B.工作2","A.工作1","B.工作2","A.工作1","D.大部分时候会","D.压力较大","B.不太想要","D.重要",
"326","2017-08-07 16:24:49","2017-08-07 16:37:57","","o86_0jrlXkoFFa481Z-qK_NkpReg___一次就好 ","","89医院","A.三级综合医院","","五官科","B.女","Q.1995年","A.未婚","","B.否","C.无","","E.护士","A.大专及以下","A.学士学位","1","","A.3000元及以下","B.5000-7000元","A.养老保险","B.医疗保险","C.工伤保险","D.失业保险","E.生育保险","F.住房补贴","","","","","B.不太方便","C.一般","","","A.很少","B.否","B.否","B.否","C.一般","C.一般","A.是","B.否","","B.缺乏实践","","","E.重点不突出","","","","I.培训速度太快","","","C.进修","","C.一般","","","","","D.比较融洽","D.比较融洽","D.比较尊重","C.一般","8","5","10","D.比较多","B.不满意","B.不满意","C.一般","C.一般","B.不满意","C.一般","C.一般","C.一般","C.一般","B.不满意","C.一般","C.一般","2","2","2","3","1","2","5","3","2","2","2","4","2","2","2","2","4","4","2","2","4","3","B.工作2","A.工作1","A.工作1","B.工作2","B.工作2","A.工作1","C.一般","C.一般","B.不太想要","D.重要",
"327","2017-08-07 16:19:28","2017-08-07 16:38:13","","o86_0jrj_7JNJ__u6MeDswTkTXlo___表情玲儿表情","","解放军第89医院","A.三级综合医院","","烧伤整形皮肤科","B.女","AD.1982年","A.未婚","","B.否","C.无","","E.护士","A.大专及以下","A.学士学位","12","","B.3000-5000元","C.7000-9000元","A.养老保险","B.医疗保险","C.工伤保险","D.失业保险","E.生育保险","F.住房补贴","","","","","D.比较方便","D.大部分时候能","","","A.很少","B.否","B.否","B.否","E.非常重视","C.一般","A.是","A.是","","","","","","","","","","J.其他","","B.在岗培训","","C.一般","","","","","E.非常融洽","E.非常融洽","D.比较尊重","D.比较好","8","5","9","D.比较多","C.一般","C.一般","C.一般","D.比较满意","B.不满意","C.一般","C.一般","D.比较满意","D.比较满意","D.比较满意","C.一般","C.一般","3","4","4","6","1","1","6","2","4","1","1","4","2","3","1","2","6","5","2","2","5","2","B.工作2","A.工作1","B.工作2","B.工作2","B.工作2","B.工作2","D.大部分时候会","D.压力较大","B.不太想要","E.非常重要",
"328","2017-08-07 16:32:12","2017-08-07 16:38:47","","o86_0jthngwnaLpNCcPqQgerq2EI___风慢慢吹。","","解放军第八十九医院","A.三级综合医院","","急诊科","B.女","R.1994年","A.未婚","","B.否","C.无","","E.护士","B.本科","B.硕士学位","2","","C.5000-7000元","C.7000-9000元","A.养老保险","","C.工伤保险","","E.生育保险","F.住房补贴","","","","","A.很不方便","C.一般","","","A.很少","B.否","B.否","B.否","B.不重视","B.不太好","B.否","B.否","A.时间太短","B.缺乏实践","C.重视不够","","","","","","","","","C.进修","","A.很少或没有","","","","","D.比较融洽","A.非常不融洽","B.不尊重","B.不太好","8","5","3","D.比较多","B.不满意","B.不满意","B.不满意","B.不满意","B.不满意","B.不满意","B.不满意","B.不满意","B.不满意","B.不满意","B.不满意","D.比较满意","7","6","7","7","2","2","4","5","3","7","5","1","4","4","2","7","7","3","4","3","5","5","B.工作2","B.工作2","A.工作1","B.工作2","B.工作2","B.工作2","B.有时候会","D.压力较大","D.有些想要","C.一般",
"329","2017-08-07 16:28:17","2017-08-07 16:40:22","","o86_0jnlG9eoggdwy80QNi8PhLXU___表情叁水表情妈表情","","解放军八十九医院","A.三级综合医院","","手外科","B.女","Z.1986年","B.已婚","","B.否","C.无","","D.护师","B.本科","A.学士学位","8","","B.3000-5000元","B.5000-7000元","A.养老保险","B.医疗保险","C.工伤保险","D.失业保险","E.生育保险","F.住房补贴","","","","","D.比较方便","D.大部分时候能","2","1","B.较少","B.否","B.否","A.是","E.非常重视","E.非常好","A.是","A.是","A.时间太短","B.缺乏实践","","","","","","","","","","C.进修","","C.一般","","","","","D.比较融洽","E.非常融洽","E.非常尊重","E.非常好","8","5","8","E.非常多","E.非常满意","E.非常满意","E.非常满意","E.非常满意","E.非常满意","E.非常满意","E.非常满意","E.非常满意","E.非常满意","E.非常满意","D.比较满意","E.非常满意","1","2","1","1","1","1","3","1","1","1","1","3","1","1","1","1","1","1","1","1","3","1","B.工作2","A.工作1","B.工作2","A.工作1","B.工作2","B.工作2","E.总是会","D.压力较大","B.不太想要","E.非常重要",
"330","2017-08-07 16:31:31","2017-08-07 16:41:34","","o86_0jgnctagqyYmqL5pOWSzw1T0___美丽心情","","八九医院","A.三级综合医院","","血液肿瘤科","B.女","V.1990年","B.已婚","","B.否","C.无","","D.护师","B.本科","A.学士学位","7","5","A.3000元及以下","D.9000元及以上","A.养老保险","B.医疗保险","","D.失业保险","E.生育保险","","","","","","C.一般","C.一般","1","5","A.很少","B.否","B.否","B.否","D.比较重视","C.一般","B.否","A.是","","B.缺乏实践","C.重视不够","D.课程内容太多","","","","","","","","A.脱产","","A.很少或没有","","","","","E.非常融洽","D.比较融洽","D.比较尊重","A.非常不好","8","5","8","C.一般","A.非常不满意","A.非常不满意","A.非常不满意","A.非常不满意","A.非常不满意","A.非常不满意","A.非常不满意","D.比较满意","D.比较满意","A.非常不满意","A.非常不满意","A.非常不满意","4","6","6","4","1","1","3","5","1","6","1","1","6","5","5","5","6","3","4","3","3","5","B.工作2","B.工作2","A.工作1","A.工作1","B.工作2","B.工作2","B.有时候会","D.压力较大","E.非常想要","D.重要",
"331","2017-08-07 16:21:40","2017-08-07 16:41:34","","o86_0jv96hRiDutePASKjR0L80qs___张书元妈妈","","解放军第89医院","A.三级综合医院","","创伤骨二科","B.女","AA.1985年","B.已婚","","B.否","C.无","","D.护师","B.本科","A.学士学位","13","3","B.3000-5000元","B.5000-7000元","A.养老保险","B.医疗保险","C.工伤保险","","E.生育保险","F.住房补贴","","","","","B.不太方便","E.总是能","1","1","B.较少","A.是","B.否","A.是","E.非常重视","D.比较好","A.是","A.是","","B.缺乏实践","","","","","","","I.培训速度太快","","","B.在岗培训","","B.较少","","","","","E.非常融洽","E.非常融洽","D.比较尊重","D.比较好","8","5","9","C.一般","B.不满意","B.不满意","C.一般","D.比较满意","C.一般","C.一般","C.一般","E.非常满意","C.一般","C.一般","C.一般","D.比较满意","2","2","2","2","1","2","2","2","2","2","7","7","1","2","1","2","7","2","2","2","2","2","B.工作2","B.工作2","A.工作1","B.工作2","B.工作2","B.工作2","C.一般","C.一般","D.有些想要","E.非常重要",
"332","2017-08-07 16:21:50","2017-08-07 16:41:36","","o86_0jlxJJsDAywmmkdh8SFP0Vl8___琦琦","","八九医院","A.三级综合医院","","创二","B.女","Z.1986年","B.已婚","","B.否","C.无","","D.护师","B.本科","A.学士学位","11","","B.3000-5000元","B.5000-7000元","A.养老保险","B.医疗保险","C.工伤保险","D.失业保险","E.生育保险","F.住房补贴","","","","","C.一般","D.大部分时候能","1","1","B.较少","B.否","B.否","A.是","E.非常重视","D.比较好","A.是","A.是","","B.缺乏实践","","","","","","","I.培训速度太快","","","B.在岗培训","","B.较少","","","","","E.非常融洽","E.非常融洽","D.比较尊重","D.比较好","8","5","9","C.一般","B.不满意","B.不满意","C.一般","D.比较满意","C.一般","C.一般","C.一般","E.非常满意","C.一般","C.一般","C.一般","E.非常满意","2","2","2","2","1","2","2","2","2","1","1","7","1","2","1","2","7","2","2","2","2","2","B.工作2","B.工作2","A.工作1","B.工作2","B.工作2","B.工作2","C.一般","C.一般","D.有些想要","E.非常重要",
"333","2017-08-07 16:24:46","2017-08-07 16:41:55","","o86_0jhMHYQuZKI_r_KjRmPJ7aLc___子祺妈妈","","解放军第89医院","A.三级综合医院","","麻醉科","B.女","AA.1985年","B.已婚","","B.否","C.无","","D.护师","B.本科","A.学士学位","13","13","B.3000-5000元","C.7000-9000元","A.养老保险","B.医疗保险","C.工伤保险","D.失业保险","E.生育保险","","","","","","B.不太方便","C.一般","1","5","B.较少","A.是","A.是","A.是","D.比较重视","D.比较好","A.是","A.是","A.时间太短","","","","","","","","","","","C.进修","","B.较少","","","","","E.非常融洽","D.比较融洽","D.比较尊重","C.一般","10","5","4","D.比较多","B.不满意","B.不满意","C.一般","B.不满意","B.不满意","B.不满意","B.不满意","D.比较满意","D.比较满意","C.一般","C.一般","B.不满意","6","7","6","7","1","1","7","7","7","6","5","4","3","6","1","2","7","7","4","1","3","1","B.工作2","B.工作2","A.工作1","B.工作2","B.工作2","A.工作1","D.大部分时候会","D.压力较大","C.一般","D.重要",
"334","2017-08-07 16:34:06","2017-08-07 16:43:06","","o86_0jpZ3bZsbCx6DuCZwCmzQDlI___雪融","","89医院","A.三级综合医院","","急诊科","B.女","Z.1986年","B.已婚","","B.否","C.无","","D.护师","B.本科","A.学士学位","13","13","B.3000-5000元","C.7000-9000元","A.养老保险","B.医疗保险","C.工伤保险","D.失业保险","E.生育保险","","","","","","C.一般","D.大部分时候能","","","A.很少","B.否","B.否","A.是","B.不重视","C.一般","B.否","B.否","A.时间太短","B.缺乏实践","","D.课程内容太多","","","","","","","","C.进修","","A.很少或没有","2","2","","","D.比较融洽","D.比较融洽","A.非常不尊重","C.一般","8","5","12","C.一般","A.非常不满意","A.非常不满意","C.一般","C.一般","A.非常不满意","A.非常不满意","A.非常不满意","C.一般","A.非常不满意","B.不满意","C.一般","B.不满意","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","B.工作2","A.工作1","B.工作2","B.工作2","B.工作2","B.工作2","B.有时候会","D.压力较大","D.有些想要","D.重要",
"335","2017-08-07 16:26:57","2017-08-07 16:43:23","","o86_0jp_inU6Z5BLoCxO6tdZ2FD8___徐红珍","","八十九医院","A.三级综合医院","","放疗科","B.女","AD.1982年","B.已婚","","A.是","A.护士长","","C.主管护师","B.本科","A.学士学位","10","5","C.5000-7000元","C.7000-9000元","A.养老保险","B.医疗保险","C.工伤保险","D.失业保险","E.生育保险","F.住房补贴","","","","","D.比较方便","D.大部分时候能","3","2","B.较少","B.否","B.否","A.是","D.比较重视","D.比较好","A.是","A.是","","B.缺乏实践","","","E.重点不突出","","G.学非所用","","","","","B.在岗培训","","D.较多","2","1","","","D.比较融洽","D.比较融洽","D.比较尊重","D.比较好","8","5","","C.一般","D.比较满意","C.一般","B.不满意","B.不满意","D.比较满意","D.比较满意","D.比较满意","D.比较满意","D.比较满意","D.比较满意","D.比较满意","D.比较满意","2","3","3","7","1","1","7","5","7","1","1","6","1","5","1","2","7","7","7","2","7","4","B.工作2","A.工作1","B.工作2","B.工作2","B.工作2","B.工作2","E.总是会","D.压力较大","A.很不想要","E.非常重要",
"336","2017-08-07 15:37:31","2017-08-07 16:43:58","","o86_0js61AwUTBXi8d3OaPJSYSas___七彩炫舞","","解放军89医院","A.三级综合医院","","手外一科","B.女","X.1988年","B.已婚","","B.否","D.其他","护士","E.护士","A.大专及以下","A.学士学位","9","4","B.3000-5000元","D.9000元及以上","A.养老保险","B.医疗保险","C.工伤保险","D.失业保险","E.生育保险","F.住房补贴","","","","","D.比较方便","D.大部分时候能","","","A.很少","B.否","B.否","B.否","D.比较重视","D.比较好","A.是","A.是","","B.缺乏实践","C.重视不够","","E.重点不突出","","","","","","","A.脱产","","C.一般","","","","","E.非常融洽","E.非常融洽","D.比较尊重","D.比较好","8","5","10","D.比较多","C.一般","C.一般","D.比较满意","C.一般","C.一般","C.一般","C.一般","C.一般","C.一般","C.一般","B.不满意","C.一般","2","2","1","2","1","2","1","2","2","1","1","2","1","2","1","2","1","2","2","2","2","2","B.工作2","B.工作2","A.工作1","B.工作2","B.工作2","B.工作2","B.有时候会","D.压力较大","B.不太想要","D.重要",
"337","2017-08-07 16:35:17","2017-08-07 16:44:32","","o86_0juI_UxlVSAN9o2F3sCO7ZBY___铭 J1ペ1437°","","中国人民解放军第八十九医院","A.三级综合医院","","干部病房","B.女","W.1989年","A.未婚","","A.是","C.无","","E.护士","A.大专及以下","A.学士学位","4","","B.3000-5000元","B.5000-7000元","A.养老保险","B.医疗保险","C.工伤保险","D.失业保险","E.生育保险","","","","","","D.比较方便","E.总是能","","","D.较多","B.否","B.否","B.否","E.非常重视","E.非常好","A.是","A.是","","","","","E.重点不突出","","","","I.培训速度太快","","","B.在岗培训","","D.较多","1","1","","","E.非常融洽","E.非常融洽","E.非常尊重","E.非常好","8","5","8","D.比较多","D.比较满意","D.比较满意","D.比较满意","D.比较满意","E.非常满意","E.非常满意","E.非常满意","E.非常满意","E.非常满意","E.非常满意","E.非常满意","E.非常满意","2","2","2","7","1","1","7","2","7","1","2","7","2","1","1","1","7","7","7","1","7","2","B.工作2","A.工作1","B.工作2","A.工作1","B.工作2","B.工作2","D.大部分时候会","C.一般","B.不太想要","D.重要",
"338","2017-08-07 16:33:20","2017-08-07 16:45:12","","o86_0jrjgPgdbW76zeR5iTZ4CgT8___吃货～","","八九医院","A.三级综合医院","","老年病科","B.女","T.1992年","A.未婚","","B.否","C.无","","E.护士","A.大专及以下","A.学士学位","1","1","B.3000-5000元","C.7000-9000元","A.养老保险","B.医疗保险","C.工伤保险","D.失业保险","E.生育保险","","","","","","C.一般","D.大部分时候能","10","30","C.一般","A.是","B.否","A.是","D.比较重视","D.比较好","A.是","A.是","","B.缺乏实践","","","","","","","I.培训速度太快","","","C.进修","","C.一般","1","1","","","D.比较融洽","D.比较融洽","D.比较尊重","D.比较好","8","5","8","D.比较多","C.一般","D.比较满意","D.比较满意","D.比较满意","D.比较满意","C.一般","D.比较满意","D.比较满意","D.比较满意","D.比较满意","C.一般","D.比较满意","3","3","3","3","1","2","3","2","2","2","2","3","2","2","1","2","3","3","2","3","3","1","B.工作2","A.工作1","B.工作2","B.工作2","B.工作2","A.工作1","C.一般","D.压力较大","C.一般","D.重要",
"339","2017-08-07 16:33:21","2017-08-07 16:45:40","","o86_0jrIcqHspemhROZLWBvleV1Q___姗姗","","解放军第八十九医院","B.三级专科医院","","普外科","B.女","U.1991年","B.已婚","","B.否","C.无","","D.护师","B.本科","A.学士学位","6","6","A.3000元及以下","B.5000-7000元","A.养老保险","B.医疗保险","C.工伤保险","D.失业保险","E.生育保险","F.住房补贴","","","","","B.不太方便","C.一般","2","2","B.较少","B.否","B.否","A.是","D.比较重视","A.非常不好","A.是","A.是","A.时间太短","","C.重视不够","","","F.形式化气氛太浓","","","","","","B.在岗培训","","B.较少","1","","","","A.非常不融洽","D.比较融洽","D.比较尊重","C.一般","8","5","12","D.比较多","B.不满意","B.不满意","B.不满意","C.一般","C.一般","C.一般","C.一般","C.一般","C.一般","C.一般","C.一般","C.一般","3","5","7","5","2","2","3","5","2","2","2","2","3","2","2","2","2","2","2","2","2","2","B.工作2","A.工作1","A.工作1","A.工作1","B.工作2","A.工作1","C.一般","B.压力较小","D.有些想要","C.一般",
